,School_code,School_name,latest_year_enrolment_FTE,Level_of_schooling,AECG_region,ASGS_remoteness,Latitude,Longitude,Ratio,teacher_demand
2149,8562,Irrawang High School,1007.8,Secondary School,Hunter,Major Cities of Australia,-32.761513,151.766861,12.450000000000001,81.0
2150,8563,Tuggerah Lakes Secondary College Berkeley Vale Campus,803.0,Secondary School,Central Coast,Major Cities of Australia,-33.341698,151.424751,12.450000000000001,65.0
2151,8564,Holsworthy High School,585.6,Secondary School,Metropolitan South West,Major Cities of Australia,-33.955528,150.95232,12.450000000000001,47.0
2152,8565,Hawkesbury High School,421.0,Secondary School,Metropolitan West,Major Cities of Australia,-33.559541,150.798039,12.450000000000001,34.0
2153,8566,Melville High School,592.0,Secondary School,Lower North Coast,Inner Regional Australia,-31.09002,152.825104,12.450000000000001,48.0
2154,8567,Northern Beaches Secondary College Manly Campus,794.8,Secondary School,Metropolitan North,Major Cities of Australia,-33.762388,151.281355,12.450000000000001,64.0
2155,8568,Northern Beaches Secondary College Freshwater Senior Campus,630.5,Secondary School,Metropolitan North,Major Cities of Australia,-33.76751,151.279975,12.450000000000001,51.0
2156,8569,Eagle Vale High School,504.0,Secondary School,Dharawal,Major Cities of Australia,-34.039942,150.803543,12.450000000000001,41.0
2157,8570,Ambarvale High School,768.6,Secondary School,Dharawal,Major Cities of Australia,-34.099984,150.801938,12.450000000000001,62.0
2158,8571,St Clair High School,653.0,Secondary School,Metropolitan West,Major Cities of Australia,-33.794217,150.786794,12.450000000000001,53.0
2159,8572,Rutherford Technology High School,1173.0,Secondary School,Hunter,Major Cities of Australia,-32.711235,151.531424,12.450000000000001,95.0
2160,8573,Winmalee High School,852.0,Secondary School,Metropolitan West,Major Cities of Australia,-33.676047,150.615138,12.450000000000001,69.0
2161,8574,Mount View High School,988.4,Secondary School,Hunter,Inner Regional Australia,-32.827955,151.333246,12.450000000000001,80.0
2162,8575,Robert Townson High School,759.4,Secondary School,Metropolitan South West,Major Cities of Australia,-34.01533,150.817995,12.450000000000001,61.0
2163,8577,Byron Bay High School,720.8999999999999,Secondary School,Upper North Coast,Inner Regional Australia,-28.667572,153.616057,12.450000000000001,58.0
2164,8578,Alstonville High School,696.5999999999999,Secondary School,Upper North Coast,Inner Regional Australia,-28.838812,153.433756,12.450000000000001,56.0
2165,8579,Kingscliff High School,1052.8000000000002,Secondary School,Upper North Coast,Major Cities of Australia,-28.266568,153.570474,12.450000000000001,85.0
2166,8580,Cranebrook High School,799.8,Secondary School,Metropolitan West,Major Cities of Australia,-33.721662,150.709812,12.450000000000001,65.0
2167,8581,Batemans Bay High School,751.4,Secondary School,Lower South Coast,Inner Regional Australia,-35.729246,150.194447,12.450000000000001,61.0
2168,8582,Bossley Park High School,1386.6,Secondary School,Metropolitan South West,Major Cities of Australia,-33.870958,150.875379,12.450000000000001,112.0
2169,8583,Menai High School,1260.5,Secondary School,Metropolitan East,Major Cities of Australia,-34.002904,151.023851,12.450000000000001,102.0
2170,8584,Elizabeth Macarthur High School,1324.0,Secondary School,Dharawal,Major Cities of Australia,-34.057072,150.740091,12.450000000000001,107.0
2171,8585,Kincumber High School,1023.6,Secondary School,Central Coast,Major Cities of Australia,-33.464894,151.382516,12.450000000000001,83.0
2172,8586,Albion Park High School,905.4,Secondary School,Upper South Coast,Major Cities of Australia,-34.576702,150.773359,12.450000000000001,73.0
2173,8587,Sydney Distance Education High School,525.3000000000002,Secondary School,Metropolitan East,Major Cities of Australia,-33.871053,151.22098,12.450000000000001,43.0
2174,8588,NSW School of Languages,,Secondary School,Metropolitan East,Major Cities of Australia,-33.894807,151.150285,12.450000000000001,26.0
